,Frame Iteration List,Step List,Episode List,Done List,Reward List,X Error List,X Mean Error List,Y Error List,Z Error List,Sqrt Distance List
0,0,0,0,False,-2.1081797458317553,0.015431554056704044,0.015431554056704044,0.01671057939529419,0.02336651086807251,2.1081797458317553
1,1,1,0,False,-1.7376989690094156,0.00139628944452852,0.008413921750616282,0.023137390613555908,0.02578181028366089,1.7376989690094156
2,2,2,0,False,-2.994022048554212,0.02217263192869723,0.013000158476643264,0.017884492874145508,0.03604593873023987,2.994022048554212
3,3,3,0,False,-5.247149990629492,0.04754135990515351,0.021635458833770826,0.025892436504364014,0.03608173131942749,5.247149990629492
4,4,4,0,False,-7.797478148645878,0.07412537233904004,0.03213344153482467,0.036866068840026855,0.03135085105895996,7.797478148645878
5,5,5,0,False,-7.797240126033967,0.07453491073101759,0.03920035306752349,0.02545034885406494,0.03806900978088379,7.797240126033967
6,6,6,0,False,-9.626977016634726,0.0932427616789937,0.04692069715487638,0.024401068687438965,0.0412214994430542,9.626977016634726
7,7,7,0,True,-1010.1910355249473,0.09896440710872412,0.053426160899107344,0.01611196994781494,0.04590719938278198,10.191035524947273
8,8,8,0,True,-1010.4215279981041,0.1016116002574563,0.05878009860559056,0.011029839515686035,0.04496634006500244,10.421527998104166
9,9,9,0,True,-1011.578269508989,0.11368457600474358,0.06427054634550586,0.009043753147125244,0.042941927909851074,11.578269508989056
10,10,10,0,True,-1011.6693594842966,0.11481553874909878,0.06886554565492341,0.003682374954223633,0.04154020547866821,11.669359484296544
11,11,11,0,True,-1011.99056901012,0.11827317625284195,0.07298284820474994,0.002811908721923828,0.03933718800544739,11.990569010119954
12,12,12,0,True,-1011.5800671146809,0.11436698772013187,0.07616624355208702,0.0022548139095306396,0.03626108169555664,11.580067114680903
13,13,13,0,True,-1010.1758753068738,0.09965594485402107,0.07784407935936802,0.010466694831848145,0.03980696201324463,10.175875306873815
14,14,14,0,True,-1011.221981985521,0.11061552725732327,0.08002884255256504,0.004257857799530029,0.03757449984550476,11.221981985521024
15,15,15,0,True,-1011.1662368299889,0.1101197013631463,0.08190952122822637,0.012135952711105347,0.034946560859680176,11.166236829988833
16,16,16,0,True,-1010.99689457586,0.10821075923740864,0.08345665287582532,0.01530727744102478,0.0360567569732666,10.996894575859972
17,17,17,0,True,-1010.6572186061449,0.10458162054419518,0.08463026219073476,0.020768791437149048,0.03535419702529907,10.6572186061448
18,18,18,0,True,-1011.0231360502256,0.10858067125082016,0.08589081003600241,0.021013468503952026,0.031673282384872437,11.023136050225588
19,19,19,0,True,-1010.9082295672584,0.10757012106478214,0.0869747755874414,0.02301079034805298,0.02794581651687622,10.908229567258442
20,20,20,0,True,-1010.3504086043175,0.10185196623206139,0.08768321323718521,0.02646404504776001,0.025627046823501587,10.350408604317478
21,21,21,0,True,-1010.4443352665909,0.10289443098008633,0.08837463222549889,0.027919352054595947,0.02247464656829834,10.444335266590855
22,22,22,0,True,-1010.7838103986502,0.10656940937042236,0.08916570949266948,0.027335941791534424,0.018461227416992188,10.783810398650228
23,23,23,0,True,-1010.5857725603039,0.10490104742348194,0.08982134857312,0.025570929050445557,0.012354791164398193,10.585772560303905
24,24,24,0,False,-9.668900301266047,0.09567174687981606,0.09005536450538784,0.02640208601951599,0.009254753589630127,9.668900301266047
25,25,25,0,False,-9.613813965080297,0.09479590319097042,0.09023769291637179,0.030358582735061646,0.010172069072723389,9.613813965080297
26,26,26,0,True,-1010.2707485868623,0.10163935273885727,0.09065997661350088,0.028706520795822144,0.007001012563705444,10.270748586862297
27,27,27,0,False,-9.43775130393239,0.09335768409073353,0.09075632330911633,0.027604609727859497,0.001953631639480591,9.43775130393239
28,28,28,0,False,-9.757608977789078,0.09675854071974754,0.09096329632327603,0.02511221170425415,0.002211153507232666,9.757608977789078
29,29,29,0,False,-9.536016235153948,0.09483588486909866,0.09109238260813678,0.019746899604797363,0.0029869675636291504,9.536016235153948
30,30,30,0,False,-9.423734533825257,0.09392818994820118,0.09118386026426789,0.013957321643829346,0.006154894828796387,9.423734533825257
31,31,31,0,False,-8.87016006306986,0.08851467445492744,0.091100448207726,0.007113635540008545,0.009049952030181885,8.87016006306986
32,32,32,0,False,-8.187669844136613,0.08168718591332436,0.09081519783516838,0.001840054988861084,0.010981976985931396,8.187669844136613
33,33,33,0,False,-7.452298515230182,0.07423264533281326,0.09032747570274617,0.0023131966590881348,0.012938618659973145,7.452298515230182
34,34,34,0,False,-7.980808316071513,0.07951441407203674,0.0900185310847259,0.0057631731033325195,0.012407183647155762,7.980808316071513
